call_id,agency,actdate,acttime,streetnbr
P200004783,BIPD,1/9/2020 0:00,1239,112
P200003505,BIPD,1/7/2020 0:00,1139,625
P200003531,BIPD,1/7/2020 0:00,1209,271
P200003624,BIPD,1/7/2020 0:00,1432,
P200003649,BIPD,1/7/2020 0:00,1502,
P200003805,BIPD,1/7/2020 0:00,2017,6427
P200003729,BIPD,1/7/2020 0:00,1724,280
P200002586,BIPD,1/5/2020 0:00,2159,12599
P200002676,BIPD,1/6/2020 0:00,0404,10044
P200002714,BIPD,1/6/2020 0:00,0650,279
P200002756,BIPD,1/6/2020 0:00,0852,
P200002786,BIPD,1/6/2020 0:00,0931,
P200002859,BIPD,1/6/2020 0:00,1137,
P200007258,BIPD,1/14/2020 0:00,0301,499
P200007609,BIPD,1/14/2020 0:00,1824,6409
P200007624,BIPD,1/14/2020 0:00,1910,410
P200007798,BIPD,1/15/2020 0:00,0255,418
P200008002,BIPD,1/15/2020 0:00,1336,
P200008091,BIPD,1/15/2020 0:00,1504,
P200004481,BIPD,1/8/2020 0:00,2238,
P200004501,BIPD,1/8/2020 0:00,2335,321
P200004738,BIPD,1/9/2020 0:00,1123,9973
P200004785,BIPD,1/9/2020 0:00,1244,
P200004819,BIPD,1/9/2020 0:00,1329,397
P200004936,BIPD,1/9/2020 0:00,1621,301
P200003995,BIPD,1/8/2020 0:00,0724,817
P200004255,BIPD,1/8/2020 0:00,1459,296
P200004426,BIPD,1/8/2020 0:00,2012,6423
P200004550,BIPD,1/9/2020 0:00,0341,7024
P200004603,BIPD,1/9/2020 0:00,0752,945
P200004640,BIPD,1/9/2020 0:00,0904,9453
P200004890,BIPD,1/9/2020 0:00,1501,7480
P200004962,BIPD,1/9/2020 0:00,1655,321
P200005032,BIPD,1/9/2020 0:00,1923,
P200005033,BIPD,1/9/2020 0:00,1923,253
P200005137,BIPD,1/10/2020 0:00,0028,6400
P200005305,BIPD,1/10/2020 0:00,1038,1326
P200004790,BIPD,1/9/2020 0:00,1253,12600
P200004875,BIPD,1/9/2020 0:00,1439,8040
P200004931,BIPD,1/9/2020 0:00,1610,
P200004950,BIPD,1/9/2020 0:00,1641,57
P200005064,BIPD,1/9/2020 0:00,2048,253
P200005450,BIPD,1/10/2020 0:00,1427,6324
P200003027,BIPD,1/6/2020 0:00,1649,
P200003040,BIPD,1/6/2020 0:00,1711,7049
P200003215,BIPD,1/6/2020 0:00,2338,6416
P200003443,BIPD,1/7/2020 0:00,1013,
P200003625,BIPD,1/7/2020 0:00,1433,860
P200008169,BIPD,1/15/2020 0:00,1651,
P200008238,BIPD,1/15/2020 0:00,1924,123
P200008287,BIPD,1/15/2020 0:00,2132,
P200008320,BIPD,1/15/2020 0:00,2245,7063
P200008417,BIPD,1/16/2020 0:00,0421,7063
P200008577,BIPD,1/16/2020 0:00,1128,
P200004797,BIPD,1/9/2020 0:00,1300,2124
P200004765,BIPD,1/9/2020 0:00,1207,8282
P200004912,BIPD,1/9/2020 0:00,1534,7764
P200004905,BIPD,1/9/2020 0:00,1521,9330
P200005129,BIPD,1/10/2020 0:00,0000,7150
P200005147,BIPD,1/10/2020 0:00,0052,15247
P200005657,BIPD,1/10/2020 0:00,2228,
P200005760,BIPD,1/11/2020 0:00,0331,6400
P200005763,BIPD,1/11/2020 0:00,0340,8040
P200005818,BIPD,1/11/2020 0:00,0918,
P200005826,BIPD,1/11/2020 0:00,0933,8806
P200005837,BIPD,1/11/2020 0:00,1004,9330
P200005389,BIPD,1/10/2020 0:00,1313,
P200005543,BIPD,1/10/2020 0:00,1718,100
P200005624,BIPD,1/10/2020 0:00,2048,253
P200005733,BIPD,1/11/2020 0:00,0204,486
P200005841,BIPD,1/11/2020 0:00,1012,10927
P200005847,BIPD,1/11/2020 0:00,1026,625
P200008603,BIPD,1/16/2020 0:00,1222,731
P200008648,BIPD,1/16/2020 0:00,1353,
P200008956,BIPD,1/17/2020 0:00,0201,10009
P200009025,BIPD,1/17/2020 0:00,0752,
P200009208,BIPD,1/17/2020 0:00,1359,
P200009241,BIPD,1/17/2020 0:00,1501,
P200005168,BIPD,1/10/2020 0:00,0150,499
P200005320,BIPD,1/10/2020 0:00,1131,
P200005514,BIPD,1/10/2020 0:00,1625,829
P200005616,BIPD,1/10/2020 0:00,2023,4192
P200005634,BIPD,1/10/2020 0:00,2104,166
P200005748,BIPD,1/11/2020 0:00,0253,
P200005943,BIPD,1/11/2020 0:00,1436,287
P200005975,BIPD,1/11/2020 0:00,1548,9439
P200005989,BIPD,1/11/2020 0:00,1621,12420
P200006052,BIPD,1/11/2020 0:00,1845,4190
P200006142,BIPD,1/11/2020 0:00,2151,7628
P200006215,BIPD,1/12/2020 0:00,0043,6400
P200005892,BIPD,1/11/2020 0:00,1232,
P200005942,BIPD,1/11/2020 0:00,1431,
P200005962,BIPD,1/11/2020 0:00,1514,
P200006148,BIPD,1/11/2020 0:00,2208,4565
P200006156,BIPD,1/11/2020 0:00,2217,10032
P200006155,BIPD,1/11/2020 0:00,2215,7666
P200005770,BIPD,1/11/2020 0:00,0425,
P200006147,BIPD,1/11/2020 0:00,2200,4723
P200006152,BIPD,1/11/2020 0:00,2213,2763
P200006151,BIPD,1/11/2020 0:00,2213,7934
P200006160,BIPD,1/11/2020 0:00,2232,6434
P200009308,BIPD,1/17/2020 0:00,1651,9295
P200009342,BIPD,1/17/2020 0:00,1747,
P200009474,BIPD,1/17/2020 0:00,2227,15250
P200009497,BIPD,1/17/2020 0:00,2308,7666
P200009590,BIPD,1/18/2020 0:00,0708,552
P200009748,BIPD,1/18/2020 0:00,1429,7401
P200006400,BIPD,1/12/2020 0:00,1338,635
P200006457,BIPD,1/12/2020 0:00,1527,4192
P200006495,BIPD,1/12/2020 0:00,1711,301
P200006550,BIPD,1/12/2020 0:00,2004,186
P200006606,BIPD,1/12/2020 0:00,2204,15225
P200006711,BIPD,1/13/2020 0:00,0140,16300
P200006471,BIPD,1/12/2020 0:00,1620,
P200006494,BIPD,1/12/2020 0:00,1708,8686
P200006593,BIPD,1/12/2020 0:00,2138,561
P200006675,BIPD,1/13/2020 0:00,0014,9411
P200006742,BIPD,1/13/2020 0:00,0326,1301
P200006759,BIPD,1/13/2020 0:00,0413,12985
P200009788,BIPD,1/18/2020 0:00,1600,
P200009918,BIPD,1/18/2020 0:00,2036,11299
P200009927,BIPD,1/18/2020 0:00,2058,8098
P200009967,BIPD,1/18/2020 0:00,2249,280
P200009969,BIPD,1/18/2020 0:00,2311,6426
P200010088,BIPD,1/19/2020 0:00,0841,15446
P200006785,BIPD,1/13/2020 0:00,0608,6651
P200006905,BIPD,1/13/2020 0:00,1133,14050
P200006949,BIPD,1/13/2020 0:00,1325,8800
P200006965,BIPD,1/13/2020 0:00,1402,
P200007051,BIPD,1/13/2020 0:00,1654,253
P200007155,BIPD,1/13/2020 0:00,2108,3512
P200006371,BIPD,1/12/2020 0:00,1209,
P200006543,BIPD,1/12/2020 0:00,1953,15000
P200006608,BIPD,1/12/2020 0:00,2209,
P200006621,BIPD,1/12/2020 0:00,2227,
P200006642,BIPD,1/12/2020 0:00,2310,15798
P200006812,BIPD,1/13/2020 0:00,0819,8040
P200010233,BIPD,1/19/2020 0:00,1530,
P200010383,BIPD,1/19/2020 0:00,2128,9800-BLK
P200010411,BIPD,1/19/2020 0:00,2240,10348
P200010451,BIPD,1/19/2020 0:00,2342,7666
P200010576,BIPD,1/20/2020 0:00,0917,326
P200010656,BIPD,1/20/2020 0:00,1154,
P200006769,BIPD,1/13/2020 0:00,0446,9700-BLK
P200006833,BIPD,1/13/2020 0:00,0914,
P200006917,BIPD,1/13/2020 0:00,1223,625
P200006980,BIPD,1/13/2020 0:00,1433,
P200006984,BIPD,1/13/2020 0:00,1438,4300-BLK
P200010640,BIPD,1/20/2020 0:00,1116,305
P200010765,BIPD,1/20/2020 0:00,1526,7300
P200010800,BIPD,1/20/2020 0:00,1659,
P200010873,BIPD,1/20/2020 0:00,2035,8838
P200011414,BIPD,1/21/2020 0:00,1802,15915
P200011489,BIPD,1/21/2020 0:00,2129,253
P200006851,BIPD,1/13/2020 0:00,0953,
P200006948,BIPD,1/13/2020 0:00,1324,
P200007014,BIPD,1/13/2020 0:00,1545,
P200007131,BIPD,1/13/2020 0:00,2027,
P200007176,BIPD,1/13/2020 0:00,2204,8334
P200007351,BIPD,1/14/2020 0:00,0933,8825
P200007281,BIPD,1/14/2020 0:00,0512,
P200007828,BIPD,1/15/2020 0:00,0516,9330
P200007830,BIPD,1/15/2020 0:00,0537,16780
P200007986,BIPD,1/15/2020 0:00,1300,
P200008166,BIPD,1/15/2020 0:00,1646,
P200008279,BIPD,1/15/2020 0:00,2056,
P200011535,BIPD,1/21/2020 0:00,2344,280
P200011676,BIPD,1/22/2020 0:00,0940,9515
P200011682,BIPD,1/22/2020 0:00,0957,4841
P200011806,BIPD,1/22/2020 0:00,1410,858
P200011892,BIPD,1/22/2020 0:00,1624,858
P200012044,BIPD,1/22/2020 0:00,2106,860
P200007065,BIPD,1/13/2020 0:00,1734,12799
P200007137,BIPD,1/13/2020 0:00,2047,
P200007188,BIPD,1/13/2020 0:00,2232,499
P200007198,BIPD,1/13/2020 0:00,2307,6409
P200007286,BIPD,1/14/2020 0:00,0529,
P200007374,BIPD,1/14/2020 0:00,1019,
P200008367,BIPD,1/16/2020 0:00,0051,579
P200008482,BIPD,1/16/2020 0:00,0832,7063
P200008505,BIPD,1/16/2020 0:00,0919,
P200008684,BIPD,1/16/2020 0:00,1444,425
P200008695,BIPD,1/16/2020 0:00,1501,16639
P200008833,BIPD,1/16/2020 0:00,1908,253
P200007429,BIPD,1/14/2020 0:00,1217,290
P200007501,BIPD,1/14/2020 0:00,1444,500
P200007679,BIPD,1/14/2020 0:00,2124,370
P200007832,BIPD,1/15/2020 0:00,0555,7444
P200007905,BIPD,1/15/2020 0:00,1020,11099
P200008225,BIPD,1/15/2020 0:00,1907,6428
P200012051,BIPD,1/22/2020 0:00,2117,530
P200012094,BIPD,1/22/2020 0:00,2320,6429
P200012106,BIPD,1/23/2020 0:00,0021,6971
P200012295,BIPD,1/23/2020 0:00,1051,253
P200012321,BIPD,1/23/2020 0:00,1143,
P200012476,BIPD,1/23/2020 0:00,1520,
P200008845,BIPD,1/16/2020 0:00,1935,406
P200008875,BIPD,1/16/2020 0:00,2056,6601
P200009065,BIPD,1/17/2020 0:00,0922,382
P200009084,BIPD,1/17/2020 0:00,1011,
P200009106,BIPD,1/17/2020 0:00,1049,7405
P200007384,BIPD,1/14/2020 0:00,1035,6087
P200007478,BIPD,1/14/2020 0:00,1351,
P200007566,BIPD,1/14/2020 0:00,1638,
P200007634,BIPD,1/14/2020 0:00,1943,100
P200007651,BIPD,1/14/2020 0:00,2017,
P200007678,BIPD,1/14/2020 0:00,2124,6411
P200008251,BIPD,1/15/2020 0:00,2003,
P200008816,BIPD,1/16/2020 0:00,1831,5399
P200008962,BIPD,1/17/2020 0:00,0250,629
P200008972,BIPD,1/17/2020 0:00,0409,6430
P200009002,BIPD,1/17/2020 0:00,0600,
P200009029,BIPD,1/17/2020 0:00,0759,
P200003791,BIPD,1/7/2020 0:00,1928,
P200003824,BIPD,1/7/2020 0:00,2058,10071
P200003856,BIPD,1/7/2020 0:00,2220,296
P200003916,BIPD,1/8/2020 0:00,0126,
P200003958,BIPD,1/8/2020 0:00,0508,
P200003964,BIPD,1/8/2020 0:00,0546,6431
P200012527,BIPD,1/23/2020 0:00,1632,625
P200012588,BIPD,1/23/2020 0:00,1816,
P200012870,BIPD,1/24/2020 0:00,0909,343
