row_number,reasons,Case Number,Address,Date & Time,Offense Description,Case Disposition,PD District
1122,'Case Disposition' garbled/scrambled text,2022-00053017,3720 E 153RD ST,2/25/2022 at 11:20,DOMESTIC VIOLENCE-KNOWIN*GCLHYA,CRAGUESDE /O FRE LAOTNTEYMPTED TO,4
1126,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00053135,4781 HINCKLEY INDUSTRIAL 2P/K25W/2Y022 at 10:00,,,,2
1136,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00053305,3919 MARTIN LUTHER KING J2R/2,D5/R2022 at 8:00,CRISIS INTERVENTION,,4
1137,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00053294,2921 COMMUNITY COLLEGE 2A/V2E5/2022 at 8:00,,PROPERTY FOUND REPORT,,3
1221,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00052170,12622 MOUNT OVERLOOK AV2E/24/2022 at 14:00,,DEAD BODY REPORT,,4
1225,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00052889,4781 HINCKLEY INDUSTRIAL 2P/K24W/2Y022 at 12:00,,,,2
1287,'Case Disposition' garbled/scrambled text,2022-00051442,3181 W 44TH ST,2/23/2022 at 19:40,VIOLATING PROTECTION ORDE*RN OO RP ACPOENRSSE,(NINTS AUGFRFEICEIMENETN TEVD),2
1289,'Offense Description' garbled/scrambled text,2022-00051425,19121 NOTTINGHAM RD,2/23/2022 at 19:20,RECOVERED VEH/PROPERTY NON-CRIME,,5
1330,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00051038,4781 HINCKLEY INDUSTRIAL 2P/K23W/2Y022 at 12:03,,PROPERTY FOUND REPORT,,2
1385,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00051109,2648 MARTIN LUTHER KING J2R/2,D2/R2022 at 23:50,DOMESTIC VIOLENCE,*CHARGED / FELONY,4
1440,'Address' contains a date/time (leak?),2022-00050159,E 37TH ST & PROSPECT AVE2/22/2022 at 15:15,,AGGRAVATED MENACING *NO PAPERS - N.F.I.L.,,3
1493,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00049634,2782 MARTIN LUTHER KING J2R/2,D2/R2022 at 2:20,CRIMINAL DAMAGING OR ENDANGERING,,4
1535,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00051447,3394 MARTIN LUTHER KING J2R/2,D1/R2022 at 18:00,DOMESTIC VIOLENCE,,4
1549,'Case Disposition' fragmented text (overlap?),2022-00049226,1435 EAST BLVD,2/21/2022 at 16:38,CRIMINAL TRESPASSING W/O P*RCIHVAILREGGEED,T /O M DISOD SEOM:EANOR,3
1581,'Case Disposition' garbled/scrambled text,2022-00049073,944 E 152ND ST,2/21/2022 at 10:20,VIOLATING PROTECTION ORDE*RC OOMRP,CLOANINSAENNTT R AEGFR TEOE MPERNOTSECUT5OR,
1636,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2022-00048528,LORAIN AVE,2/20/2022 at 22:10,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,1
1667,'Offense Description' garbled text (embedded symbol),2022-00048251,1801 E 12TH ST,2/20/2022 at 15:15,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,3
1672,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00048703,3645 COMMUNITY COLLEGE 2A/V2E0/2022 at 15:00,,THEFT - FRAUD,,3
1753,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00047711,W 44TH ST & S MARGINAL D2R/20/2022 at 0:00,,DR UNDER THE INFLUENCE OF ALCOHOL AND OR DRUGS,,2
1897,'Address' contains a date/time (leak?),2022-00046679,W 101ST ST & MADISON AVE2/18/2022 at 20:36,,FELONIOUS ASSAULT - (ALL),,1
1924,'Case Disposition' garbled/scrambled text,2022-00046472,16215 TRAFALGAR AVE,2/18/2022 at 17:00,VIOLATING PROTECTION ORDE*RC OOMRP,CLOANINSAENNTT R AEGFR TEOE MPERNOTSECUT5OR,
1987,'Case Disposition' garbled/scrambled text,2022-00045920,3045 E 121ST ST,2/18/2022 at 6:50,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,4
2036,'Address' contains a date/time (leak?),2022-00045638,11019 RESERVOIR PLACE DR2/17/2022 at 19:00,,TELEPHONE HARASSMENT,,4
2116,'Offense Description' garbled/scrambled text,2022-00044814,2335 E 93RD ST,2/17/2022 at 2:00,VIOLATING ANTI-STALKING PRO*TCEOCMTPIOLANI NOARNDTE,RREF TO PROSECUT3OR,
2129,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00045512,I 90 W & B & MARTIN LUTHE2R/1,K6I/N20G2 J2R a tB 2L3V:D00,MOTOR VEHICLE THEFT - GTMV,,5
2137,'Address' contains a date/time (leak?),2022-00044650,E 61ST ST & WATERLOO RD2/16/2022 at 22:08,,DR UNDER THE INFLUENCE OF ALCOHOL AND OR DRUGS,,5
2227,'Case Disposition' garbled/scrambled text,2022-00044894,1588 ANSEL RD,2/16/2022 at 8:30,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,3
2234,'Case Disposition' garbled/scrambled text,2022-00043767,12700 SHAKER BLVD,2/16/2022 at 7:50,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E FNETL OAGNRYEEMENT,4
2255,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00043807,2900 MARTIN LUTHER KING J2R/1,D6/R2022 at 0:30,BREAKING AND ENTERING,,4
2355,'Offense Description' garbled/scrambled text,2022-00053384,981 STEVENSON RD,2/15/2022 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,5
2373,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00044486,13501 LAKEWOOD HEIGHTS 2B/L1V4D/2022 at 19:00,,VANDALISM,,1
2441,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00041798,2250 COMMUNITY COLLEGE 2A/V1E4/2022 at 6:21,,RAPE,,3
2443,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00041735,13933 LAKEWOOD HEIGHTS 2B/L1V4D/2022 at 2:34,,SUDDEN ILLNESS,,1
2455,'Case Disposition' garbled/scrambled text,2022-00045586,1910 ROOKWOOD RD,2/14/2022 at 0:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
2550,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00040921,13429 LAKEWOOD HEIGHTS 2B/L1V3D/2022 at 1:00,,ASSAULT,,1
2557,'Offense Description' garbled text (embedded symbol),2022-00040853,11113 CONTINENTAL AVE,2/12/2022 at 23:31,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,4
2562,'Offense Description' garbled text (embedded symbol),2022-00040833,ORANGE AVE,2/12/2022 at 23:00,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,3
2576,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00040738,WARNER RD & BANCROFT A2V/1E2/2022 at 20:38,,FELONIOUS ASSAULT - FIREARM,,4
2605,'Case Disposition' garbled/scrambled text,2022-00040604,2500 METRO HEALTH DR,2/12/2022 at 13:42,FAIL TO PROVIDE FOR FUNCTIORNEAFLELRYR,IEMDP ATIOR EGDR PAENRDS JOUNRY,2
2627,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00040264,4781 HINCKLEY INDUSTRIAL 2P/K12W/2Y022 at 9:33,,PROPERTY FOUND REPORT,,2
2640,'Case Disposition' garbled/scrambled text,2022-00040097,9334 AMESBURY RD,2/12/2022 at 2:52,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E FNETL OAGNRYEEMENT,3
2651,'Offense Description' garbled/scrambled text,2022-00040051,3407 W 46TH ST,2/12/2022 at 1:30,RECOVERED VEH/PROPERTY NON-CRIME,,2
2677,'Address' contains a date/time (leak?),2022-08000097,1212 W 6TH ST DOWN UNDER2/11/2022 at 20:00,,THEFT,,3
2706,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2022-00039733,10005 YALE AVE,2/11/2022 at 16:00,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,5
2793,'Address' contains a date/time (leak?),2022-00040579,2040 UNIVERSITY HOSPITAL 2D/R10/2022 at 19:00,,CRIMINAL MISCHIEF,UCP,
2828,'Offense Description' garbled/scrambled text,2022-00038573,3870 W 36TH ST,2/10/2022 at 14:30,RECOVERED VEH/PROPERTY NON-CRIME,,2
2842,'Case Disposition' garbled/scrambled text,2022-00038459,2501 E 61ST ST,2/10/2022 at 12:15,ILLEGAL WEAPON OR ORDNANRAECFEE,ORNR ESDC HTOOO JLU VPERNOIPLEER CTOYURT,3
2922,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00037801,11412 MOUNT OVERLOOK AV2E/9/2022 at 19:17,,AGGRAVATED MENACING,,4
3013,'Case Disposition' garbled/scrambled text,2022-00036999,3590 E 113TH ST,2/9/2022 at 1:23,IMP DISCH FIREARM ON OR NE*ACRH,PARROGHEDIB I/T FEEDL OPNRYEMISES,4
3152,'Offense Description' garbled/scrambled text,2022-00035574,W 13TH ST,2/7/2022 at 17:33,RECOVERED VEH/PROPERTY NON-CRIME,,2
3159,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00035559,3939 COMMUNITY COLLEGE 2A/V7E/2022 at 17:10,,CRIMINAL DAMAGING OR ENDANGERING,,3
3180,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00035489,12410 MOUNT OVERLOOK AV2E/7/2022 at 14:00,,INTERFERENCE WITH CUSTODY,,4
3212,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00035117,3939 COMMUNITY COLLEGE 2A/V7E/2022 at 9:45,,MOTOR VEHICLE THEFT - GTMV,,3
3229,'Offense Description' garbled/scrambled text,2022-00034909,E 93RD ST,2/7/2022 at 3:15,RECOVERED VEH/PROPERTY NON-CRIME,,4
3237,'Case Disposition' garbled/scrambled text,2022-00035294,1560 E 82ND ST,2/7/2022 at 1:00,UNAUTHORIZED USE OF MOTO*RN OVE,PHAIPCELRES - VICTIM N.F.I.L.,3
3259,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00035727,12410 MOUNT OVERLOOK AV2E/6/2022 at 20:00,,DOMESTIC VIOLENCE-THREATS,,4
3261,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00035204,12410 MOUNT OVERLOOK AV2E/6/2022 at 20:00,,DOMESTIC VIOLENCE (THREAT*SN)O PAPERS (INSUFFICIENT EVD),,4
3340,'Offense Description' garbled/scrambled text; 'Case Disposition' garbled/scrambled text,2022-00033875,18606 INVERMERE AVE,2/5/2022 at 23:00,DOMESTIC VIOLENCE-KNOWIN*GNLOY PCAAPUESRES,O (RIN ASTUTFEFMICPITEENDT TEOVD),4
3357,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00034416,W LAKESIDE AVE & JOHNSO2N/5,/C2T022 at 21:00,MOTOR VEHICLE TRESPASS,,3
3375,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00033599,3939 COMMUNITY COLLEGE 2A/V5E/2022 at 17:00,,ASSAULT,,3
3386,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00033529,11412 MOUNT OVERLOOK AV2E/5/2022 at 16:00,,ASSAULT,*CHARGED / FELONY,4
3395,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00033458,11412 MOUNT OVERLOOK AV2E/5/2022 at 14:50,,AGGRAVATED MENACING,,4
3422,'Case Disposition' garbled/scrambled text,2022-00041953,5225 SUPERIOR AVE,2/5/2022 at 8:00,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E FNETL OAGNRYEEMENT,3
3425,'Case Disposition' garbled/scrambled text,2022-00033653,5225 SUPERIOR AVE,2/5/2022 at 8:00,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,3
3428,'Case Disposition' garbled/scrambled text,2022-00034558,3904 E 189TH ST,2/5/2022 at 7:00,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,4
3503,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00032403,E 93RD ST & LAMONTIER AV2E/4/2022 at 15:08,,RECEIVING STOLEN PROPERTY,,4
3525,'Case Disposition' garbled/scrambled text,2022-00032132,5225 SUPERIOR AVE,2/4/2022 at 10:25,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E MNITS DAEGMREEAENMOERNT,3
3559,'Case Disposition' garbled/scrambled text,2022-00031678,11819 PARKVIEW AVE,2/3/2022 at 21:12,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN (I NOSRU SFCFHICOIEONLT EVD),4
3590,'Offense Description' garbled/scrambled text,2022-00034946,3202 W 71ST ST,2/3/2022 at 13:00,RECOVERED VEH/PROPERTY NON-CRIME,,2
3614,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2022-00030968,11901 MARTIN LUTHER KING 2,J/R3/ 2D0R22 at 4:20,CRIMINAL DAMAGING OR ENDANGERING,,4
3624,'Case Disposition' garbled/scrambled text,2022-00030864,2607 MAPLEDALE AVE,2/3/2022 at 0:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,2
3634,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2022-00030680,E 98TH ST,2/2/2022 at 19:58,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,4
3641,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2022-00030624,3169 E 80TH ST,2/2/2022 at 18:54,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,4
3642,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00030615,10915 MOUNT OVERLOOK AV2E/2/2022 at 18:40,,ROBBERY,,3
3644,'Case Disposition' garbled/scrambled text,2022-00030598,8207 GOODMAN AVE,2/2/2022 at 18:15,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN (I NOSRU SFCFHICOIEONLT EVD),4
3672,'Offense Description' garbled/scrambled text,2022-00030321,CENTRAL AVE,2/2/2022 at 13:36,RECOVERED VEH/PROPERTY NON-CRIME,,3
3686,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00030230,4781 HINCKLEY INDUSTRIAL 2P/K2/W20Y22 at 11:50,,PROPERTY FOUND REPORT,,2
3688,'Offense Description' garbled/scrambled text,2022-00030232,5225 SUPERIOR AVE,2/2/2022 at 11:45,RECOVERED VEH/PROPERTY NON-CRIME,,3
3694,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00030254,4781 HINCKLEY INDUSTRIAL 2P/K2/W20Y22 at 11:00,,,,2
3711,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00029962,2095 MARTIN LUTHER KING J2R/2,D/2R022 at 6:23,THEFT,CWRU,
3717,'Case Disposition' garbled/scrambled text,2022-00029919,UNKNOWN,2/2/2022 at 4:00,FELONIOUS ASSAULT - OTHER *DNAON,PGAEPREORUSS - WVIECATPIMO NN.F.I.L.,3
3749,'Address' contains a date/time (leak?),2022-00029715,FRANKLIN AVE & W 77TH ST2/1/2022 at 21:10,,AGGRAVATED ROBBERY,,2
3877,'Case Disposition' garbled/scrambled text,2022-00028873,8935 MERIDIAN AVE,1/31/2022 at 23:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,3
3884,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2022-00028634,552 E 152ND ST,1/31/2022 at 21:45,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,5
3900,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00029409,2250 COMMUNITY COLLEGE 1A/V3E1/2022 at 17:00,,AGGRAVATED ROBBERY,,3
3923,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00029098,2071 MARTIN LUTHER KING J1R/3,D1/R2022 at 13:30,MISUSE OF CREDIT CARD,CWRU,
3938,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00028271,ASHBURY RD & ST CLAIR AV1E/31/2022 at 12:00,,MOTOR VEHICLE THEFT - GTMV*NO PAPERS - N.F.I.L.,,5
3956,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00027961,4781 HINCKLEY INDUSTRIAL 1P/K31W/2Y022 at 8:30,,DRUG TRAFFICKING,,
3964,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00028295,E I-480 HWY & MCCKRACKE1N/3,R1A/2M02P2 at 4:30,MOTOR VEHICLE THEFT - GTMV,,4
4032,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00027372,I-77 N & OPPORTUNITY COR1R/3I0D/O20R22 at 16:10,,DOMESTIC VIOLENCE,EXCEPTIONAL CLEARANCE,3
4044,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00027228,3939 COMMUNITY COLLEGE 1A/V3E0/2022 at 13:06,,ASSAULT,,3
4078,'Case Disposition' garbled/scrambled text,2022-00026976,1392 E 111TH ST,1/30/2022 at 4:00,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,5
4121,'Address' contains a date/time (leak?),2022-00026603,I 480 W & B HWY & STATE RD1/29/2022 at 18:10,,PROPERTY FOUND REPORT,,2
4253,'Offense Description' garbled text (embedded symbol),2022-00030137,CLARK AVE,1/28/2022 at 15:00,UNAUTHORIZED USE OF MV_INOTPEERNS/TSAUTPEP,4L8E HMOEUNRT SMODE,2
4321,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00024989,E 159TH ST & LAKESHORE B1L/2V7D/2022 at 21:45,,AGGRAVATED ROBBERY EXCEPTIONAL CLEARANCE,,5
4360,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00024624,2250 COMMUNITY COLLEGE 1A/V2E7/2022 at 15:00,,DEAD BODY REPORT,,3
4367,'Offense Description' garbled text (embedded symbol); 'Case Disposition' garbled/scrambled text,2022-00024561,1440 LAKESIDE AVE,1/27/2022 at 13:00,ILLEGAL WEAPON OR ORDNAN*CCEH,OARNG SECDH O/ FOELL PORNOYPERTY,3
4370,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2022-00036707,3588 MARTIN LUTHER KING J1R/2,D7/R2022 at 12:00,MENACING,,4
4390,'Address' contains a date/time (leak?),2022-00024305,3515 WEST BOULEVARD AVE1/27/2022 at 10:10,,DAMAGE TO PROPERTY NON-CRIME,,1
4420,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00041255,4600 HINCKLEY INDUSTRIAL 1P/K27W/2Y022 at 0:00,,THEFT,,2
4426,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00024014,4781 HINCKLEY INDUSTRIAL 1P/K26W/2Y022 at 22:50,,DRUG TRAFFICKING,,
4465,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00023567,2250 COMMUNITY COLLEGE 1A/V2E6/2022 at 14:10,,CRISIS INTERVENTION,,3
4540,'Address' contains a date/time (leak?),2022-00022846,CLARK AVE & 90 EAST RAMP1/25/2022 at 19:37,,VIOLATION OF STATE DRUG LAWREFERRED TO GRAND JURY,,1
4548,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00022818,N MARGINAL RD & W 44TH S1T/25/2022 at 18:50,,FELONIOUS ASSAULT - (ALL),,2
4555,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00022728,4781 HINCKLEY INDUSTRIAL 1P/K25W/2Y022 at 16:00,,,,2
4635,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00021892,13933 LAKEWOOD HEIGHTS 1B/L2V4D/2022 at 21:30,,PETTY THEFT SHOPLIFTING,,1
4662,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00021641,2250 COMMUNITY COLLEGE 1A/V2E4/2022 at 16:02,,,,3
4696,'Offense Description' garbled/scrambled text,2022-00021301,4123 PEARL RD,1/24/2022 at 10:00,"FELONIOUS ASSAULT - HANDS,W FAISRTRSA, NFET E- TSSU, SEPTECCT WANTED",,2
4706,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00021099,LAKESHORE BEACH APARTM1E/2N4T/2S022 at 2:00,,CRIMINAL DAMAGING OR ENDANGERING,,5
4755,'Offense Description' garbled/scrambled text,2022-00020843,6601 HARVARD AVE,1/23/2022 at 18:20,"FELONIOUS ASSAULT - HANDS,W FAISRTRSA, NFET E- TSSU, SEPTECCT WANTED",,4
4794,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00021190,4601 HINCKLEY INDUSTRIAL 1P/K23W/2Y022 at 10:12,,THEFT - FROM MOTOR VEHICLE,,2
4800,'Offense Description' garbled text (embedded symbol),2022-00021229,7201 KINSMAN RD,1/23/2022 at 9:26,"BREAKING & ENTERING _ THEFPTE/FNEDLIONNGY UNOCCUPIED STRUCTU4RE,FORCE/STEALTH/DECEPTION.",,
4861,'Offense Description' garbled/scrambled text,2022-00020095,EUCLID AVE,1/22/2022 at 21:00,DUI-DRIVING WHILE UNDER THPER INOFSLEUCEUNTCOER,O'SF O AFLFCICOEHOL O,5
4875,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00020009,E IR -90 & MARTIN LUTHER 1K/I2N2G/2022 at 19:00,,CRISIS INTERVENTION,,5
4891,'Offense Description' garbled/scrambled text,2022-00019855,3265 E 146TH ST,1/22/2022 at 15:22,RECOVERED VEH/PROPERTY NON-CRIME,,4
4975,'Case Disposition' garbled/scrambled text,2022-00019437,EAST BLVD,1/21/2022 at 23:35,DRIVNG WHILE UNDER THE INFPLRUOESNECCEU,OTFO ARL'SC OOHFFLI COER DRUG,5
4980,'Case Disposition' garbled/scrambled text,2022-00019445,750 E 88TH ST,1/21/2022 at 23:01,"FELONIOUS ASSAULT - HANDS,* FCIHSATRS,G","FEEDE /T FSE, LEOTCNY",3
5050,'Case Disposition' garbled/scrambled text,2022-00018821,944 E 152ND ST,1/21/2022 at 10:40,VIOLATING PROTECTION ORDE*RC OOMRP,CLOANINSAENNTT R AEGFR TEOE MPERNOTSECUT5OR,
5060,'Case Disposition' garbled/scrambled text,2022-00018569,3433 W 132ND ST,1/21/2022 at 9:30,VIOLATING PROTECTION ORDE*RC HOARR,CGOENDS /E FNETL OAGNRYEEMENT,1
5068,'Case Disposition' garbled/scrambled text,2022-00030153,9200 EDMUNDS AVE,1/21/2022 at 8:00,VIOLATING PROTECTION ORDE*RC OOMRP,CLOANINSAENNTT R AEGFR TEOE MPERNOTSECUT3OR,
5143,'Offense Description' garbled/scrambled text,2022-00017865,2501 SUPERIOR AVE E,1/20/2022 at 14:15,RECOVERED VEH/PROPERTY NON-CRIME,,3
5153,"'PD District' expected numeric, has text; 'Case Disposition' garbled/scrambled text",2022-00022429,12631 IRVINGTON AVE,1/20/2022 at 12:00,BREAKING & ENTERING _ THEF*TN/OFE,PLAOPNEYR USN (IONCSCUUFFPIICEIDE NSTT REUVCDT),"U5RE,FORCE/STEALTH/DECEPTION."
5182,'Case Disposition' garbled/scrambled text,2022-00017439,3329 E 118TH ST,1/20/2022 at 4:43,IMP DISCH FIREARM AT OR INTO*N HOA,PBAITPAETRIOSN - NO.RF .SI.LC.HOOL,4
5204,'Offense Description' garbled/scrambled text,2022-00050036,3107 DENISON AVE,1/20/2022 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,2
5213,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00017322,11490 MOUNT OVERLOOK AV1E/19/2022 at 23:00,,CRISIS INTERVENTION,,4
