row_number,reasons,CallID,When,Typ,Nature,P,Location,Cty
6460,'Nature' garbled text (embedded symbol),19C077043,11:18:42 08/22/19,f,ZZFaint/Uncons,1,2055 KELLOGG AVE; KAISER FOUNDATION HEALTH PLAN INC,COR
6479,'Nature' garbled text (embedded symbol),19C077067,12:37:11 08/22/19,f,ZZFaint/Uncons,1,1400 CIRCLE CITY DR; #102,COR
6629,'Location' garbled/scrambled text,19C077308,21:31:09 08/22/19,l,Disturb Peace,3,301 N LINCOLN AVE;CARDENAS MARKETS;HOMELESS,COR
6825,'Nature' garbled text (embedded symbol),19C077563,14:10:34 08/23/19,f,ZZFaint/Uncons,1,9 KPC PKWY; ALVORD SCHOOL DIST,COR
6913,'Location' garbled/scrambled text,19C077692,19:23:33 08/23/19,l,Patrol Info,4,1800 S LINCOLN AVE;LINCOLN PARK;POSS HSVIOL,COR
7073,'Nature' garbled text (embedded symbol),19C077898,09:15:42 08/24/19,f,ZZFaint/Uncons,1,947 ESTHER DR,COR
7143,'Location' garbled/scrambled text,19C077995,14:02:27 08/24/19,l,Alarm Call,2,675 N TREEMONT PL # 105;WASHINGTON RESD,COR
7149,'Location' garbled/scrambled text,19C078002,14:30:48 08/24/19,l,Alarm Call,2,1932 ELISE WAY;WE DO EQIUPMENT,COR
7167,'Location' garbled/scrambled text,19C078028,15:10:10 08/24/19,l,911 Hangup,2,3631 SUMMERTREE LN;WIFI CALL,COR
7236,'Location' garbled/scrambled text,19C078129,20:02:20 08/24/19,f,ZZFwy Diff Brth,1,91 EB SERFAS CLUB 6TH STMAPLE,COR
7281,'Nature' garbled text (embedded symbol),19C078202,23:33:32 08/24/19,f,ZZFaint/Uncons,1,911 ANDREA LN # 204,COR
7391,'Location' garbled/scrambled text,19C078378,11:08:59 08/25/19,l,Alarm Call,2,912 EAGLESNEST DR;GONZALEZ RESIDENCE,COR
7451,'Nature' garbled text (embedded symbol),19C078454,14:48:26 08/25/19,f,ZZFaint/Uncons,1,22924 BRIARWOOD DR,TEM
7705,'Nature' garbled text (embedded symbol),19C078803,10:58:27 08/26/19,f,ZZFaint/Uncons,1,410 N MCKINLEY ST; US BANK,COR
7707,'Nature' garbled text (embedded symbol),19C078806,11:04:07 08/26/19,f,ZZFaint/Uncons,1,1330 MAGNOLIA AVE; ACO,COR
7797,'Nature' garbled text (embedded symbol),19C078921,16:00:43 08/26/19,f,ZZFaint/Uncons,1,1063 SUNBEAM LN,COR
7843,'Nature' garbled text (embedded symbol),19C078992,18:55:58 08/26/19,f,ZZFaint/Uncons,1,275 TELLER ST,COR
7887,'Nature' garbled text (embedded symbol),19C079056,21:47:19 08/26/19,f,ZZFaint/Uncons,1,1427 GARNET ST,COR
8096,'Nature' garbled text (embedded symbol),19C079360,15:02:03 08/27/19,lf,ZZFaint/Uncons,1,TEMESCAL CANYON RD & FASHION DR ; AOD FIRE,COR
8244,'Nature' garbled text (embedded symbol),19C079582,06:03:26 08/28/19,f,ZZFaint/Uncons,1,2242 ARABIAN WAY,COR
8300,'Nature' garbled text (embedded symbol),19C079661,09:58:12 08/28/19,f,ZZFaint/Uncons,1,140 W ONTARIO AVE # 101; ONTARIO RANCH,COR
8326,'Nature' garbled text (embedded symbol),19C079696,10:55:49 08/28/19,f,ZZFaint/Uncons,1,3571 HAWTHORNE DR,COR
8487,'Location' garbled/scrambled text,19C079928,21:01:18 08/28/19,l,Alarm Call,2,516 MONDALE ST ;EMSE RESD,COR
8489,'Nature' garbled text (embedded symbol),19C079930,21:09:19 08/28/19,lf,ZZFaint/Uncons,1,319 S RAMONA AVE,COR
8680,'Nature' garbled text (embedded symbol),19C080208,15:26:59 08/29/19,f,ZZFaint/Uncons,1,3579 GRAND OAKS; CHILIS GRILL AND BAR AT THE CROSSINGS,COR
8844,'Location' garbled/scrambled text,19C080450,06:00:17 08/30/19,f,ZZMedical Alert,1,4316 CANTADA DR;VANDYKE RESD,COR
8908,'Nature' garbled text (embedded symbol),19C080528,10:20:02 08/30/19,f,ZZFaint/Uncons,1,4740 GREEN RIVER RD #101,
8985,'Location' garbled/scrambled text,19C080637,14:57:05 08/30/19,f,ZZMedical Alert,1,635 BARBRE LN;CANETTI RESD,COR
9021,'Nature' garbled text (embedded symbol),19C080690,16:47:16 08/30/19,f,ZZFaint/Uncons,1,1203 W SIXTH ST # 61,COR
9022,'Location' garbled/scrambled text,19C080691,16:47:59 08/30/19,l,Susp Person,3,220 N DELILAH ST;CAL DRAULICS,COR
9030,'Location' garbled/scrambled text,19C080701,17:07:55 08/30/19,l,Alarm Call,2,3258 CAMDEN LN;SHOOP RESD,COR
9160,'Location' garbled/scrambled text,19C080892,01:03:35 08/31/19,l,Resid Burg I/P,2,2977 MANGULAR AVE;POSS; 5 AGO,COR
9165,'Nature' garbled text (embedded symbol),19C080898,01:32:45 08/31/19,f,ZZFaint/Uncons,1,2462 GRIFFIN WAY,COR
9248,'Nature' garbled text (embedded symbol),19C081002,11:11:38 08/31/19,f,ZZFaint/Uncons,1,947 ESTHER DR,COR
9251,'Location' garbled/scrambled text,19C081005,11:32:10 08/31/19,l,Alarm Call,2,1855 HILLTOP CIR;DONNELL RESD,COR
9295,'Nature' garbled text (embedded symbol),19C081060,14:23:40 08/31/19,f,ZZFaint/Uncons,1,2765 LAKESHORE DR; CITRUS CITY GRILLE,COR
9402,'Location' garbled/scrambled text,19C081196,21:00:47 08/31/19,l,911 Hangup,2,935 HORATIO AVE;ABAND RESD,COR
9413,'Location' garbled/scrambled text,19C081208,21:24:29 08/31/19,l,Loud Party,3,3255 HUNTFIELD ST;2ND RESPONSE,COR
9628,'Nature' garbled text (embedded symbol),19C081500,16:16:26 09/01/19,f,ZZFaint/Uncons,1,2171 CARTWHEEL CIR,COR
9699,'Location' garbled/scrambled text,19C081601,22:03:46 09/01/19,l,Loud Noise,3,1131 VIEWCREST CT ;POSS JUVS DRNKING,COR
