_needs_review,_review_reason,CallID,When,Typ,Nature,P,Location,Cty
,,19C068385,19:41:58 08/01/19,l,911 Hangup,2,4095 LESTER AVE,COR
,,19C068387,19:49:26 08/01/19,l,911 Hangup,2,3562 VALLEY VIEW AVE,NOR
,,19C068388,19:50:58 08/01/19,l,911 Hangup,2,210 N SMITH AVE,COR
,,19C068389,19:53:45 08/01/19,l,Susp Vehicle,3,1461 RIMPAU AVE; SIZZLER,COR
,,19C068393,19:57:10 08/01/19,l,Disturb Peace,3,3335 GRAND OAKS ; famous footwear ; REF TO LEAVE,COR
,,19C068395,20:01:39 08/01/19,l,Property Check,4,564 MALLOY CT,COR
,,19C068396,20:06:08 08/01/19,l,Traffic Stop,4,1211 W SIXTH ST,COR
,,19C068397,20:09:41 08/01/19,f,ZZBreathing,1,251 W RINCON ST;#219,COR
,,19C068398,20:11:23 08/01/19,l,Follow Up,4,1255 W EIGHTH ST;#52,COR
,,19C068399,20:13:36 08/01/19,lf,Man Down,1,W SIXTH ST & S SMITH AVE,COR
,,19C068400,20:14:22 08/01/19,l,Property Check,4,1750 W SIXTH ST; HARBOR FREIGHT TOOLS 464,COR
,,19C068401,20:15:56 08/01/19,l,911 Hangup,2,1516 TETA DR,COR
,,19C068405,20:18:42 08/01/19,l,Disturb Peace P,4,1533 CLASSICO WAY ; LL CONT,COR
,,19C068406,20:20:51 08/01/19,l,Disturb Peace,3,797 LASSEN DR,COR
,,19C068407,20:21:53 08/01/19,l,Property Check,4,509 BATEMAN CIR,COR
,,19C068408,20:22:49 08/01/19,l,Area Check,3,TEMESCAL CANYON RD & CAJALCO RD,COR
,,19C068409,20:25:13 08/01/19,l,911 Hangup,2,797 LASSEN DR,COR
